INFO::2024-09-25 20:35:56 - Sentence_score default value Due to null for key CSG6MA5M4m999dw, test/apple products/result.json
INFO::2024-09-25 20:35:56 - Product rating default value Due to null for key YmJzXIRsyR7TH0P, test/apple products/result.json
INFO::2024-09-25 20:35:56 - return_policy default value Due to null for key YmJzXIRsyR7TH0P, test/apple products/result.json
INFO::2024-09-25 20:35:56 - Sentence_score default value Due to null for key YmJzXIRsyR7TH0P, test/apple products/result.json
INFO::2024-09-25 20:35:56 - Product rating default value Due to null for key tXKGTGdt0yPGWPn, test/apple products/result.json
INFO::2024-09-25 20:35:56 - return_policy default value Due to null for key tXKGTGdt0yPGWPn, test/apple products/result.json
INFO::2024-09-25 20:35:56 - Sentence_score default value Due to null for key tXKGTGdt0yPGWPn, test/apple products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key mQCkDemiZIV3oj3, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key mQCkDemiZIV3oj3, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key Lx0FyDREswe6MZu, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key Lx0FyDREswe6MZu, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key OCgOHil8abQ4p5k, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key OCgOHil8abQ4p5k, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key N75pe0zC57U5VNd, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key N75pe0zC57U5VNd, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key qVGWt9vtJLPgIAO, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key qVGWt9vtJLPgIAO, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key qVGWt9vtJLPgIAO, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key ufwd4MWgaKCnwln, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key ufwd4MWgaKCnwln, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key ZQPOtMWlkbQkkJL, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key ZQPOtMWlkbQkkJL, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key JZUvhONFRvpXUIS, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key JZUvhONFRvpXUIS, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key 9MArMUV22Ygqte9, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 9MArMUV22Ygqte9, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key 9MArMUV22Ygqte9, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key wuza72D8ezEI7lk, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key sdfrFuxg9hLpG9K, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key sdfrFuxg9hLpG9K, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key L9AjSWpBV1XUCai, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key L9AjSWpBV1XUCai, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key PHOjFDBIj2gXZe2, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key PHOjFDBIj2gXZe2, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key PHOjFDBIj2gXZe2, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key t14WmIfCcrQJeZF, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key t14WmIfCcrQJeZF, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key nf1RXgbgKsxII9Y, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key nf1RXgbgKsxII9Y, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key Y5XxV8lNgc3EJtt, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key Y5XxV8lNgc3EJtt, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key NYYiMnrkSJQjjrU, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key NYYiMnrkSJQjjrU, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key Tq9LdmGK9l8AuqJ, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key Tq9LdmGK9l8AuqJ, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key DDLsHgvkxfyhaif, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key DDLsHgvkxfyhaif, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key DDLsHgvkxfyhaif, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key s5kNXmOdQDn2Cu6, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key s5kNXmOdQDn2Cu6, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key 2D5l8ICzuZbPgz4, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 2D5l8ICzuZbPgz4, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key xxMuinMfSMxaf38, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key xxMuinMfSMxaf38, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key xxMuinMfSMxaf38, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key Vx7rysOqtioOl1r, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key Vx7rysOqtioOl1r, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key 0EjyMVjueFfnef2, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 0EjyMVjueFfnef2, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key hbRe8jhSgxd7VpQ, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key hbRe8jhSgxd7VpQ, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key KPk8WKaCiCRy0iB, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key KPk8WKaCiCRy0iB, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key i0WBdaOigz2fH8p, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key i0WBdaOigz2fH8p, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key i0WBdaOigz2fH8p, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key 6uMh7RTnLy82Qs4, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 6uMh7RTnLy82Qs4, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key dCXHsXmgvaRLSKo, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key dCXHsXmgvaRLSKo, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key dCXHsXmgvaRLSKo, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key N142w4xveOetHy6, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key N142w4xveOetHy6, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key N142w4xveOetHy6, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key ujFMupxWJ2a79bJ, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key ujFMupxWJ2a79bJ, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key 7RVFEMfVkaCjQIU, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 7RVFEMfVkaCjQIU, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key Rq4K0jvmu5WW6om, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key Rq4K0jvmu5WW6om, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key dDcjgB6nUpTTnF2, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key dDcjgB6nUpTTnF2, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key dDcjgB6nUpTTnF2, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key l1waaEu5ndtpnIB, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key l1waaEu5ndtpnIB, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key l1waaEu5ndtpnIB, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key P6uI9Uxsl9AZMxY, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key P6uI9Uxsl9AZMxY, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key P6uI9Uxsl9AZMxY, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key MjlxX8adBfd7lzk, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key MjlxX8adBfd7lzk, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key MDxiLlUjIqRz9Se, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key MDxiLlUjIqRz9Se, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key 2afyZQUFCtH2SA9, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 2afyZQUFCtH2SA9, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key 14UhrnFw7dFD92u, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 14UhrnFw7dFD92u, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key 14UhrnFw7dFD92u, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key 7O52Rp4yy434FEv, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 7O52Rp4yy434FEv, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key 79vV0moslkYuArM, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 79vV0moslkYuArM, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key LHCdS5KtEbXRjhD, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key LHCdS5KtEbXRjhD, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key VsieHQvsVSblLsu, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key VsieHQvsVSblLsu, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key VsieHQvsVSblLsu, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key Huymve8wcpkROJh, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key Huymve8wcpkROJh, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key s24ams287VTvQGY, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key s24ams287VTvQGY, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key AYR7ffb8Lgqxfk0, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key AYR7ffb8Lgqxfk0, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key XNCSMKxOaH65KaM, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key XNCSMKxOaH65KaM, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key oAjj1AqvPCHGfwP, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key oAjj1AqvPCHGfwP, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key oAjj1AqvPCHGfwP, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key F6SMP1mlziICNCX, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key F6SMP1mlziICNCX, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key F6SMP1mlziICNCX, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key 1hoRW3ZM8RaAhOy, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - seller rating default value Due to null for key 1hoRW3ZM8RaAhOy, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 1hoRW3ZM8RaAhOy, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Sentence_score default value Due to null for key 1hoRW3ZM8RaAhOy, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key rtsdidXJsN53PhQ, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key rtsdidXJsN53PhQ, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key FevdzhGq1m2FlGT, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key FevdzhGq1m2FlGT, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key yXEPTJsVzVIS8Us, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key yXEPTJsVzVIS8Us, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key 3VeAkzI0PGw7WNz, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key 3VeAkzI0PGw7WNz, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - product rating default invalid value key O8cKtIX0BI4nhXd, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key O8cKtIX0BI4nhXd, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - Product rating default value Due to null for key uSVvqUQsYJPjUKT, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - seller rating default value Due to null for key uSVvqUQsYJPjUKT, test/beauty products/result.json
INFO::2024-09-25 22:28:52 - return_policy default value Due to null for key uSVvqUQsYJPjUKT, test/beauty products/result.json
